,,,,,,,,,,,
,,,,,,,,,,,
,,,,1,21,,,,,,
,,,,,,SOLWENT - PLAKATY,,,,,
,,,,,,,,,,,
,SOLWENT - PLAKATY,,,,,MINIMALKA 1m2! -,,,,,
,,,,,,"jeśli klient potrzebuje mniejszego wydruku, przyjmujemy zlecenie ale i tak płaci za minimalkę.",,,,,
,MINIMALKA 1m2! - 1 wzór,,,,,,,,,,
,"jeśli klient potrzebuje mniejszego wydruku,",,,,,Papier 150g półmat,,,,,
,przyjmujemy zlecenie ale i tak płaci za minimalkę.,,,,,,,,,,
,,,,,,Ilość,cena / m2,,,,
,Papier 200g połysk,,,,,1 - 3 m2,65 zł / m2,,,,
,,,,,,4 - 9 m2,60 zł / m2,,,,
,Ilość,cena / m2,,,,10 - 20 m2,55 zł / m2,,,,
,1-3 m2,70 zł / m2,,,,21 - 40 m2,50 zł / m2,,,,
,4-9 m2,65 zł / m2,,,,41 m2 i więcej,42 zł / m2,,,,
,10-20 m2,59 zł / m2,,,,,,,,,
,21-40 m2,53 zł / m2,,,,Papier 115g matowy,,,,,
,41 m2 i więcej,45 zł / m2,,,,,,,,,
,,,,,,Ilość,cena / m2,,,,
,Papier BLOCKOUT 200g satyna,,,,,1 - 3 m2,45 zł / m2,,,,
,,,,,,4 - 19 m2,40 zł / m2,,,,
,Ilość,cena / m2,,,,20 - m2 i więcej,35 zł / m2,,,,
,1-3 m2,80 zł / m2,,,,,,,,,
,4-9 m2,75 zł / m2,,,,,,,,,
,10-20 m2,70 zł / m2,,,,,,,,,
,21-40 m2,65 zł / m2,,,,,,,,,
,41 m2 i więcej,60 zł / m2,,,,,,,,,
,50 szt.,"70,00zł","170,00zł",,,Wizytówki INNE Konfiguracje wycena PAULINA!,,,,,
,100 szt.,"79,00zł","180,00zł",,,,,,,,
,150 szt.,"89,00zł","190,00zł",,,,,,,,
,200 szt.,"99,00zł","200,00zł",,,,,,,,
,250 szt.,"120,00zł","210,00zł",,,,,,,,
,300 szt.,"129,00zł","230,00zł",,,,,,,,
,400 szt.,"149,00zł","250,00zł",,,,,,,,
,500 szt.,"175,00zł","260,00zł",,,,,,,,
,1000 szt.,"300,00zł","345,00zł",,,,,,,,
,,,,,,,,,,,
WIZYTÓWKI - druk cyfrowy - SOFTTOUCH,,,,5,,,,,,,
Wizytówki kreda mat 350g - SOFT TOUCH,,,,,,,,,,,
,,,,,,,,,,,
nakład,85x55mm (foliowane),cena,,,,,,,,,
50 szt.,,"65,00 zł / 170,00 zł",,,,,,,,,
100 szt.,,"75,00 zł / 190,00 zł",,,,,,,,,
150 szt.,,"85,00 zł / 210,00 zł",,,,,,,,,
200 szt.,,"96,00 zł / 220,00 zł",,,,,,,,,
250 szt.,,"110,00 zł / 230,00 zł",,,,,,,,,
300 szt.,,"126,00 zł / 240,00 zł",,,,,,,,,
400 szt.,,"145,00 zł / 260,00 zł",,,,,,,,,
500 szt.,,"170,00 zł / 270,00 zł",,,,,,,,,
1000 szt.,,"290,00 zł / 380,00 zł",,,,,,,,,
,,,,,,,,,,,
Wizytówki INNE Konfiguracje wycena PAULINA!,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
nakład,90x50mm (foliowane),cena,,,,,,,,,
50 szt.,,"70,00 zł / 170,00 zł",,,,,,,,,
100 szt.,,"79,00 zł / 190,00 zł",,,,,,,,,
150 szt.,,"89,00 zł / 210,00 zł",,,,,,,,,
200 szt.,,"99,00 zł / 220,00 zł",,,,,,,,,
250 szt.,,"120,00 zł / 230,00 zł",,,,,,,,,
300 szt.,,"129,00 zł / 240,00 zł",,,,,,,,,
400 szt.,,"149,00 zł / 260,00 zł",,,,,,,,,
500 szt.,,"175,00 zł / 270,00 zł",,,,,,,,,
1000 szt.,,"300,00 zł / 390,00 zł",,,,,,,,,
,,,,,,,,,,,
,ZAPROSZENIA KREDA - druk cyfrowy,,,,,,,,,,
,Dwustronne 200-250g,,,,,,,,,,6
,Zaproszenia KREDA błysk/mat od 200g - 250g,,,,,,,,,,
,,,,,,,,,,,
,nakład,A6 (105x148mm) cena,A6 (2x 105x296mm) cena,nakład,A5 (148x210mm) cena,A5 (2x 148x420mm) cena,nakład,,,,
,10 szt.,"35,00zł","58,00zł",10 szt.,"40,00zł","65,00zł",10 szt.,DL (99x210mm) cena,DL (2xDL 99x420mm) cena,,
,24 szt.,"46,00zł","66,00zł",24 szt.,"49,00zł","80,00zł",24 szt.,"40,00zł","65,00zł",,
,32 szt.,"57,00zł","84,00zł",32 szt.,"62,00zł","115,00zł",32 szt.,"55,00zł","70,00zł",,
,50 szt.,"66,00zł","105,00zł",50 szt.,"79,00zł","149,00zł",50 szt.,"65,00zł","90,00zł",,
,75 szt.,"79,00zł","125,00zł",75 szt.,"97,00zł","199,00zł",75 szt.,"75,00zł","115,00zł",,
,100 szt.,"89,00zł","149,00zł",100 szt.,"126,00zł","245,00zł",100 szt.,"89,00zł","150,00zł",,
,150 szt.,"115,00zł","199,00zł",150 szt.,"170,00zł","340,00zł",150 szt.,"105,00zł","185,00zł",,
,większa ilość,wycena indywidualna,,większa ilość,wycena indywidualna,,większa ilość,"135,00zł","245,00zł",,
,,,,,,,,wycena indywidualna,,,
,Jednostronne 200-250g - analogiczna struktura,,,,,,,,,,
,,,,,,,,,,,
,możliwość wydruku zaproszeń na papierze satynowym,,,,,,,,,,
,czas realizacji 1-3 dni roboczych (składane + 1 dzień),,,,,,,,,,
,Inne ilości wycena w KALKULATORZE,,,,,,,,,,
,,,,,,,,,,,
Wycinanie z Folii kolorowej - M2 LITERY i Inne,,,,7,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Wycinanie z folii kolorowej powyżej 1m2,,125 zł zł/m2,,,,,,,,,
Wycinanie z folii złoto/srebro powyżej 1m2,,150 zł zł/m2,,,,,,,,,
Wycinanie z folii kolorowej poniżej 1m2,,200 zł/m2,,,,,,,,,
Wycinanie z folii złoto/srebro poniżej 1m2,,220 zł/m2,,,,,,,,,
,,,,,,,,,,,
-KWOTA MINIMALNA WYCINANIA - 30 ZŁ,,,,,,,,,,,
,,,,,,,,,,,
- Cena zawiera: Folia + wycinanie + wybieranie + transport,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,8,,,,,,,
,BANNER,,,,,,,,,,
,,,,,,,,,,,
,Banner powlekany,,,,,,,,,,
,,,,,,,,,,,
,Ilość,cena / m2,,,,,,,,,
,1 - 25 m2,53 zł / m2,,,,,,,,,
,26 - 50 m2,49 zł / m2,,,,,,,,,
,51 - więcej m2,45 zł / m2,,,,,,,,,
,,,,,,,,,,,
,Banner Blockout,,,,,,,,,,
,,,,,,,,,,,
,Ilość,cena / m2,,,,,,,,,
,1 - 25 m2,64 zł / m2,,,,,,,,,
,26 - 50 m2,59 zł / m2,,,,,,,,,
,51 - więcej m2,55 zł / m2,,,,,,,,,
,"oczkowanie co 25 / 30 cm dodatkowo płatne + 2,50 zł/m2",,,,,,,,,,
,ROLL-UP,,,,,,,,,,
,RollUp Jednostronny,,,,,,,,,,
,nakład,1 - 5 szt.,6 - 10 szt.,,,,,,,,
,85 x 200 cm,290 zł/szt,275 zł/szt,,,,,,,,
,100 x 200 cm,305 zł/szt,285 zł/szt,,,,,,,,
,120 x 200 cm,330 zł/szt,310 zł/szt,,,,,,,,
,150 x 200 cm,440 zł/szt,425 zł/szt,,,,,,,,
,wymiana wkładu 50 zł + cena wydruku,,,,,,,,,,
,(wydruk RollUp 80zł/m2 - blockout z czarnym środkiem),,,,,,,,,,
,,,,,,,,,,,
,WLEPKI/NAKLEJKI,,,9,,,,,,,
,,,,,,,,,,,
,Wlepki po obrysie (Folia Biała/Trans),,,,,,,,,,
,,,,,,,,,,,
,Ilość,cena / m2,,,,,,,,,
,1 - 5 m2,67 zł / m2,,,,,,,,,
,6 - 25 m2,60 zł / m2,,,,,,,,,
,26 - 50 m2,56 zł / m2,,,,,,,,,
,26 - 50 m2,52 zł / m2,,,,,,,,,
,51 m2 i więcej,48 zł / m2,,,,,,,,,
,Wlepki/Folia z MOCNYM KLEJEM + 12% do ceny,,,,,,,,,,
,Wlepki po obrysie - Polipropylen,,,,,,,,,,
,Ilość,cena / m2,,,,,,,,,
,1 - 10 m2,50 zł / m2,,,,,,,,,
,11-więcej m2,42 zł / m2,,,,,,,,,
,Wlepki cięte na ARKUSZE sztuki + 2 zł/m2,,,,,,,,,,
,Wlepki cięte na POJEDYNCZE sztuki + 10 zł/m2,,,,,,,,,,
,Folia Biała / Transparentna,,,,,,,,,,
,Ilość,cena / m2,,,,,,,,,
,1 - 5 m2,54 zł / m2,,,,,,,,,
,6 - 25 m2,50 zł / m2,,,,,,,,,
,26 - 50 m2,46 zł / m2,,,,,,,,,
,51 m2 - więcej,42 zł / m2,,,,,,,,,
,,,,,,,,,,,
,FOLIA OWV,,,10,,,,,,,
,,,,,,,,,,,
,Folia OWV,,,,,,,,,,
,,,,,,,,,,,
,Ilość,cena / m2,,,,,,,,,
,1 - 3 m2,65 zł / m2,,,,,,,,,
,4 - 9 m2,60 zł / m2,,,,,,,,,
,10 - 20 m2,55 zł / m2,,,,,,,,,
,21 - 40 m2,50 zł / m2,,,,,,,,,
,41 m2 i więcej,45 zł / m2,,,,,,,,,
,,,,,,,,,,,
,Usługa oklejania witryn folią OWV,,,,,,,,,,
,,,,,,,,,,,
