Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
Z napisem STANDARD,"czarny, granat, zieleń, bordo",25,,,,,,,
Z napisem KOLORY,pozostałe kolory,35,,,,,,,
Bez napisu STANDARD,,20,,,,,,,
Własna okładka,,10,,,,,,,
Oprawy zaciskowe i inne,,,,,,,,,
Rodzaj oprawy,Cena [zł],Uwagi,,,,,,,
Biała – zszywka THERMO,8,*,,,,,,,
Zaciskowa miękka,15,,,,,,,,
Skoroszyt + zszywanie,7,*,,,,,,,
Oprawa dokumentacji wydrukowanej u nas,,,,,,,,,
Rodzaj oprawy,Cena od [zł],Uwagi,,,,,,,
Rodzaj oprawy,Cena od [zł],Uwagi,,,,,,,
Zbijane,50,do 5 cm wysokości dokumentów,,,,,,,
Skręcane – śruby introligatorskie,60,do 5 cm wysokości dokumentów,,,,,,,
* Każdy dodatkowy 1 cm oprawy powyżej 5 cm – 10 zł,,,,,,,,,
Oprawa dokumentacji dostarczonej przez klienta,,,,,,,,,
Rodzaj oprawy,Cena od [zł],Uwagi,,,,,,,
Zbijane,60,do 5 cm wysokości dokumentów,,,,,,,
Skręcane – śruby introligatorskie,70,do 5 cm wysokości dokumentów,,,,,,,
* Każdy dodatkowy 1 cm oprawy powyżej 5 cm – 12 zł,,,,,,,,,
Dodatkowo płatne (oprawy twarde),,,,,,,,,
Rozszycie oprawy twardej – od 25 do 40 zł,,,,,,,,,
Ponowne zszycie oprawy twardej – od 25 do 40 zł,,,,,,,,,
,,,,,,,,,
Introligatornia – usługi jednostkowe,,,,,,,,,
Usługa,Cena [zł],Jednostka,,,,,,,
Cięcie na gilotynie,"0,07",za 1 cięcie,,,,,,,
Cięcie ręczne (TRYMER),"0,5",za 1 cięcie,,,,,,,
Dziurkowanie powyżej 20 kartek,"0,05",za 1 kartkę,,,,,,,
Zszywanie kartek,"0,3",za 1 zszywkę,,,,,,,
Broszurowanie / docinanie,"0,5",za 1 cięcie,,,,,,,
Bigowanie,"0,5",za 1 big,,,,,,,
,,,,,,,,,
FOLIA SZRONIONA – materiał,,,,,,,,,
Zakres ilości [m²],Cena materiału [zł / m²],,,,,,,,
1–5 m²,65,,,,,,,,
6–25 m²,60,,,,,,,,
26–50 m²,56,,,,,,,,
51 m² i więcej,51,,,,,,,,
Oklejanie witryn – folia SZRONIONA (usługa),,,,,,,,,
Zakres ilości [m²],Cena usługi [zł / m²],,,,,,,,
1–5 m²,140,,,,,,,,
5–10 m²,130,,,,,,,,
10–20 m²,120,,,,,,,,
powyżej 20 m²,wycena indywidualna,,,,,,,,
,,,,,,,,,
FOLIA OWV – materiał,,,,,,,,,
Zakres ilości [m²],Cena materiału [zł / m²],,,,,,,,
1–3 m²,65,,,,,,,,
4–9 m²,60,,,,,,,,
10–20 m²,55,,,,,,,,
21–40 m²,50,,,,,,,,
41 m² i więcej,45,,,,,,,,
Oklejanie witryn – folia OWV (usługa),,,,,,,,,
Zakres ilości [m²],Cena usługi [zł / m²],,,,,,,,
1–5 m²,140,,,,,,,,
5–10 m²,130,,,,,,,,
10–20 m²,120,,,,,,,,
powyżej 20 m²,wycena indywidualna,,,,,,,,
,,,,,,,,,
BANNER – materiał,,,,,,,,,
Banner powlekany,,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–25 m²,53,,,,,,,,
26–50 m²,49,,,,,,,,
51 m² i więcej,45,,,,,,,,
Banner Blockout,,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–25 m²,64,,,,,,,,
26–50 m²,59,,,,,,,,
51 m² i więcej,55,,,,,,,,
"* Oczkowanie co 25/30 cm dodatkowo płatne + 2,50 zł / m²",,,,,,,,,
ROLL‑UP – jednostronny,,,,,,,,,
Format (szer. × wys.),1–5 szt. – cena [zł / szt.],6–10 szt. – cena [zł / szt.],,,,,,,
85 × 200 cm,290,275,,,,,,,
100 × 200 cm,305,285,,,,,,,
120 × 200 cm,330,310,,,,,,,
150 × 200 cm,440,425,,,,,,,
* Wymiana wkładu 50 zł + cena wydruku (wydruk Roll‑Up 80 zł / m² – blockout z czarnym środkiem),,,,,,,,,
WLEPKI / NAKLEJKI – Folia Biała / Trans (wlepki po obrysie),,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
1–5 m²,67,,,,,,,,
6–25 m²,60,,,,,,,,
26–50 m²,56,,,,,,,,
51 m² i więcej,48,,,,,,,,
* Wlepki / folia z MOCNYM KLEJEM + 12% do ceny,,,,,,,,,
Wlepki po obrysie – Polipropylen,,,,,,,,,
Zakres ilości [m²],Cena [zł / m²],,,,,,,,
