Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
1-3 szt.,"8,00 zł/szt","9,00 zł/szt","11,00 zł/szt","13,00 zł/szt",,,,,
4-9 szt.,"7,00 zł/szt","8,00 zł/szt","9,00 zł/szt","11,00 zł/szt",,,,,
,,,,,,,,,
Czas realizacji: 1-2 dni robocze,,,,,,,,,
Wycinanie z Folii kolorowej - M2 (Litery i Inne),,,,,,,,,
Rodzaj folii,Powierzchnia,Cena,,,,,,,
Folia kolorowa,powyżej 1 m2,125 zł/m2,,,,,,,
Folia złoto/srebro,powyżej 1 m2,150 zł/m2,,,,,,,
Folia kolorowa,poniżej 1 m2,200 zł/m2,,,,,,,
Folia złoto/srebro,poniżej 1 m2,220 zł/m2,,,,,,,
,,,,,,,,,
Kwota minimalna wycinania: 30 zł,,,,,,,,,
,,,,,,,,,
Cena zawiera: Folia + wycinanie + wybieranie + transport,,,,,,,,,
Wydruki Specjalne,,,,,,,,,
MODIGLIANI - do 3 sztuk,,,,,,,,,
Format/Rodzaj papieru,Cena,,,,,,,,
Modigliani 260g A4,"12,00 zł/strona",,,,,,,,
Modigliani 260g A3,"15,00 zł/strona",,,,,,,,
,,,,,,,,,
Do 3 sztuk przy druku dwustronnym cena + 50%,,,,,,,,,
Większe ilości - wycena w kalkulatorze cyfrowym VIP,,,,,,,,,
,,,,,,,,,
WYDRUKI KOPIARKOWE od ręki - Satyna 200g (A4/A3),,,,,,,,,
Jednostronne:,,,,,,,,,
Nakład,Cena,,,,,,,,
1 - 5 szt.,"8,00 zł/sztuka",,,,,,,,
6 - 10 szt.,"7,00 zł/sztuka",,,,,,,,
11 - 20 szt.,"5,50 zł/sztuka",,,,,,,,
Dwustronne:,,,,,,,,,
Nakład,Cena,,,,,,,,
1 - 5 szt.,"10,00 zł/sztuka",,,,,,,,
6 - 10 szt.,"8,50 zł/sztuka",,,,,,,,
11 - 20 szt.,"6,50 zł/sztuka",,,,,,,,
Dodatkowe opłaty:,,,,,,,,,
"Docinanie białych ramek: + 0,50 zł za jedno cięcie",,,,,,,,,
Format A3: + 10% do ceny,,,,,,,,,
Zaproszenia SATYNA - druk cyfrowy (Papier 200g - 250g),,,,,,,,,
Dwustronne,,,,,,,,,
Ilość,A6 (105x148) / 2x A6,A5 (148x210) / 2x A5,DL (99x210) / 2x DL,,,,,,
10 szt,"40,00 / 65,00 zł","45,00 / 75,00 zł","46,00 / 66,00 zł",,,,,,
24 szt,"52,00 / 75,00 zł","55,00 / 100,00 zł","63,00 / 85,00 zł",,,,,,
32 szt,"62,00 / 95,00 zł","68,00 / 125,00 zł","72,00 / 105,00 zł",,,,,,
50 szt,"80,00 / 110,00 zł","90,00 / 165,00 zł","85,00 / 136,00 zł",,,,,,
75 szt,"90,00 / 133,00 zł","110,00 / 220,00 zł","100,00 / 165,00 zł",,,,,,
100 szt,"105,00 / 165,00 zł","139,00 / 275,00 zł","118,00 / 265,00 zł",,,,,,
150 szt,"129,00 / 220,00 zł","190,00 / 380,00 zł","150,00 / 273,00 zł",,,,,,
Większa ilość,wycena indywidualna,wycena indywidualna,wycena indywidualna,,,,,,
Jednostronne,,,,,,,,,
Ilość,A6 (105x148) / 2x A6,A5 (148x210) / 2x A5,DL (99x210) / 2x DL,,,,,,
10 szt,"28,00 / 50,00 zł","42,00 / 58,00 zł","40,00 / 53,00 zł",,,,,,
24 szt,"48,00 / 62,00 zł","52,00 / 72,00 zł","50,00 / 65,00 zł",,,,,,
32 szt,"52,00 / 68,00 zł","59,00 / 88,00 zł","55,00 / 75,00 zł",,,,,,
50 szt,"59,00 / 80,00 zł","64,00 / 115,00 zł","65,00 / 95,00 zł",,,,,,
75 szt,"67,00 / 99,00 zł","75,00 / 150,00 zł","75,00 / 115,00 zł",,,,,,
100 szt,"75,00 / 116,00 zł","95,00 / 175,00 zł","92,00 / 140,00 zł",,,,,,
150 szt,"90,00 / 149,00 zł","125,00 / 235,00 zł","107,00 / 180,00 zł",,,,,,
Większa ilość,wycena indywidualna,wycena indywidualna,wycena indywidualna,,,,,,
Zaproszenia KREDA (błysk/mat) - druk cyfrowy (Papier 200g - 250g),,,,,,,,,
Dwustronne,,,,,,,,,
Ilość,A6 (105x148) / 2x A6,A5 (148x210) / 2x A5,DL (99x210) / 2x DL,,,,,,
10 szt,"35,00 / 55,00 zł","40,00 / 65,00 zł","40,00 / 55,00 zł",,,,,,
24 szt,"45,00 / 65,00 zł","49,00 / 95,00 zł","55,00 / 70,00 zł",,,,,,
32 szt,"57,00 / 84,00 zł","62,00 / 115,00 zł","65,00 / 90,00 zł",,,,,,
50 szt,"68,00 / 105,00 zł","79,00 / 149,00 zł","75,00 / 115,00 zł",,,,,,
75 szt,"79,00 / 125,00 zł","99,00 / 199,00 zł","89,00 / 156,00 zł",,,,,,
100 szt,"89,00 / 149,00 zł","125,00 / 245,00 zł","105,00 / 186,00 zł",,,,,,
150 szt,"115,00 / 199,00 zł","170,00 / 340,00 zł","135,00 / 245,00 zł",,,,,,
Większa ilość,wycena indywidualna,wycena indywidualna,wycena indywidualna,,,,,,
Jednostronne,,,,,,,,,
Ilość,A6 (105x148) / 2x A6,A5 (148x210) / 2x A5,DL (99x210) / 2x DL,,,,,,
10 szt,"30,00 / 45,00 zł","34,00 / 50,00 zł","35,00 / 45,00 zł",,,,,,
24 szt,"40,00 / 55,00 zł","42,00 / 60,00 zł","50,00 / 55,00 zł",,,,,,
32 szt,"45,00 / 60,00 zł","48,00 / 75,00 zł","55,00 / 63,00 zł",,,,,,
50 szt,"50,00 / 71,00 zł","55,00 / 95,00 zł","62,00 / 79,00 zł",,,,,,
75 szt,"60,00 / 84,00 zł","65,00 / 115,00 zł","70,00 / 97,00 zł",,,,,,
100 szt,"68,00 / 93,00 zł","79,00 / 149,00 zł","82,00 / 115,00 zł",,,,,,
150 szt,"79,00 / 125,00 zł","110,00 / 199,00 zł","95,00 / 149,00 zł",,,,,,
Większa ilość,wycena indywidualna,wycena indywidualna,wycena indywidualna,,,,,,
Artykuły Biurowe,,,,,,,,,
Artykuł,Cena za szt.,,,,,,,,
TECZKI,,,,,,,,,
teczka biała z gumką,"4,00zł",,,,,,,,
teczka niebieska twarda,"15,00zł",,,,,,,,
teczka KOLOR z gumką,"5,50zł",,,,,,,,
teczka biała z wiązką,"5,00zł",,,,,,,,
SKOROSZYT,,,,,,,,,
skoroszyt DURABLE,"10,00zł",,,,,,,,
skoroszyt z wąsem,"4,50zł",,,,,,,,
skoroszyt z wąsem do wpinalnia,"4,50zł",,,,,,,,
SEGREGATOR 7 cm,"13,00zł",,,,,,,,
KOSZULKA na dokumenty,"0,30 / 0,80 zł",,,,,,,,
Papier RYZA A4 / A5,"19,00 / 36,00 zł",,,,,,,,
długopis / ołówek,"6,00 / 4,00 zł",,,,,,,,
PENDRIVE 32GB,"28,00zł",,,,,,,,
PENDRIVE 4GB,"22,00zł",,,,,,,,
KOPERTY,,,,,,,,,
KOPERTY zwykłe,"0,65zł",,,,,,,,
koperta rozszerzona,"3,00zł",,,,,,,,
Koperta wysyłkowa,"3,00zł",,,,,,,,
KOPERTY ozdobne/V,"1,40zł",,,,,,,,
PUDEŁKA / PŁYTY,,,,,,,,,
pudełko pakowe 80 / 100 / 120 cm,"4,50 / 5,00 / 6,00 zł",,,,,,,,
Płyty CD / DVD,"3,20 / 5,20 zł",,,,,,,,
